Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
19.7,16.8,83,29,33,32.2,101.54,NA
19.3,16.6,84,30,28,32.2,101.54,Mainly Clear
18.9,16.1,84,30,25,32.2,101.59,NA
19.3,16.4,83,30,26,48.3,101.63,NA
20.1,16.5,80,30,27,48.3,101.69,Mostly Cloudy
20.8,16.8,78,30,31,48.3,101.72,NA
21.8,16.8,73,31,26,48.3,101.72,NA
22.3,16.9,71,31,26,48.3,101.74,Mainly Clear
23.6,16.9,65,31,27,48.3,101.73,NA
24.7,17.5,64,31,27,48.3,101.67,NA
26.1,17.9,60,31,22,48.3,101.6,Mainly Clear
26.4,17.8,59,30,23,48.3,101.52,NA
27.4,18.3,57,31,21,48.3,101.44,NA
27,18.6,59,30,20,48.3,101.39,Mainly Clear
26.7,17.7,57,29,18,48.3,101.36,NA
24.4,17.2,64,31,14,40.2,101.3,NA
23.3,17.5,69,32,15,40.2,101.28,Mainly Clear
21.6,17.4,77,31,15,32.2,101.31,NA
21.4,18,80,32,5,32.2,101.32,NA
20.4,16.5,78,33,6,32.2,101.33,Clear
20.3,15.7,75,36,3,32.2,101.36,NA
21.3,17.8,80,36,1,32.2,101.39,NA
21.5,16.5,73,36,2,32.2,101.4,Clear
20.7,15.1,70,9,4,32.2,101.41,NA
19,14.3,74,36,2,24.1,101.45,NA
19.7,14.7,73,36,2,24.1,101.46,Clear
18.3,13.9,75,9,3,24.1,101.49,NA
18.6,14.2,75,2,4,32.2,101.54,NA
20,17.2,84,36,3,24.1,101.59,Clear
22.4,17.8,75,16,5,24.1,101.61,NA
24.3,16.5,61,30,7,20.9,101.62,NA
25.2,15.2,54,21,7,20.9,101.62,Clear
25.3,16.8,59,24,11,20.9,101.61,NA
25.9,16.2,54,23,10,20.9,101.57,NA
27.2,15.7,49,22,7,20.9,101.54,Clear
28.7,14.6,41,22,8,6.4,101.5,Smoke
28.8,12.8,37,24,10,8.1,101.46,Smoke
27.2,17.7,55,22,6,9.7,101.42,Smoke
27,20.7,68,24,8,6.4,101.39,Smoke
24.7,19.8,73,31,4,6.4,101.37,Smoke
25.4,14,49,14,10,4.8,101.38,Smoke
23.7,13.8,53,8,11,4.8,101.41,Smoke
22.5,13.9,58,11,11,4.8,101.45,Smoke
22.1,13.7,58,9,12,6.4,101.46,Smoke
21.6,14.1,62,11,14,6.4,101.5,Smoke
20.2,14.7,70,10,12,6.4,101.53,Smoke
20.1,14.9,72,10,10,12.9,101.56,Clear
18.5,15.2,81,9,11,12.9,101.57,NA
18,15.3,84,14,10,12.9,101.61,NA
17,15,88,12,10,16.1,101.64,Mainly Clear
17.3,14.4,83,10,16,12.9,101.68,NA
17,14.5,85,10,16,20.9,101.74,NA
19,15.2,78,13,13,20.9,101.76,Clear
21,14.7,67,11,18,24.1,101.78,NA
22,15.1,65,12,23,24.1,101.83,NA
23.9,15.6,59,11,23,24.1,101.83,Clear
24.3,15.6,58,13,19,24.1,101.84,NA
26.2,16.1,53,13,17,24.1,101.85,NA
26.4,16.2,53,11,15,24.1,101.82,Mainly Clear
27.9,16.5,49,14,14,24.1,101.8,NA
27.7,16.2,49,15,10,24.1,101.75,NA
27.2,16.6,52,17,11,24.1,101.69,Mainly Clear
25.2,17.9,63,22,13,24.1,101.63,NA
25.1,15.9,56,9,18,24.1,101.64,NA
23.9,15.9,60,11,14,19.3,101.6,Mostly Cloudy
22.1,16,68,13,14,19.3,101.6,NA
20.9,15.6,71,8,10,19.3,101.64,NA
20.8,16,74,10,15,19.3,101.63,Mainly Clear
20.2,16.1,77,12,17,19.3,101.62,NA
19.7,16,79,14,7,19.3,101.63,NA
18.5,16.6,89,14,16,19.3,101.61,Mostly Cloudy
17.6,16.1,91,11,15,19.3,101.59,NA
16.9,15.6,92,11,12,19.3,101.61,NA
17.3,16.3,94,12,17,19.3,101.63,Mainly Clear
16.2,15.2,93,13,13,24.1,101.65,NA
16.9,15.7,93,12,18,32.2,101.71,NA
17.7,15.6,87,11,17,24.1,101.73,Mainly Clear
19.7,15.8,78,12,21,32.2,101.73,NA
22.1,15.7,67,12,22,32.2,101.73,NA
22.4,15.9,66,13,20,32.2,101.72,Mainly Clear
23.5,16.4,64,13,22,32.2,101.69,NA
23.8,16.4,63,13,15,32.2,101.64,NA
23.6,15.1,58,15,21,32.2,101.59,Mostly Cloudy
24,15.3,58,14,19,32.2,101.54,NA
22.4,14.7,61,11,16,32.2,101.44,NA
22.8,15,61,11,13,40.2,101.37,Mostly Cloudy
22.5,15.2,63,8,9,40.2,101.34,NA
22,14.8,63,9,8,32.2,101.29,NA
20.5,17.1,81,20,8,32.2,101.27,Mostly Cloudy
19.8,17.2,85,24,8,32.2,101.29,NA
18.8,17.5,92,28,5,32.2,101.29,NA
18.6,17.1,91,29,4,32.2,101.25,Mostly Cloudy
19.7,17.6,87,16,5,32.2,101.24,NA
18.5,15.9,85,10,13,32.2,101.24,NA
17.3,15.2,87,9,16,32.2,101.24,Cloudy
16.5,14.6,88,10,16,32.2,101.21,NA
16.3,14.3,88,9,16,32.2,101.21,NA
16.5,14.3,87,11,21,32.2,101.2,Cloudy
16.7,14.8,88,10,9,24.1,101.18,NA
17.2,14.5,84,12,16,24.1,101.19,NA
16.9,14.3,85,12,20,24.1,101.18,Cloudy
17.2,14.6,85,12,16,24.1,101.17,NA
16.8,15.1,90,10,17,24.1,101.16,Rain
16.8,16,95,9,14,16.1,101.14,Rain
16.9,16.1,95,9,12,16.1,101.13,Rain
17.1,16.4,96,12,9,12.9,101.12,Rain
17.7,16.5,93,11,5,12.9,101.11,Cloudy
18.1,16.7,91,21,4,16.1,101.06,NA
19.3,16.8,85,36,3,24.1,101.01,NA
19.4,16.9,85,24,10,24.1,100.96,Mostly Cloudy
20.8,15.8,73,11,14,24.1,100.88,NA
19.3,16.8,85,29,9,32.2,100.87,NA
18.1,15.3,84,12,4,32.2,100.88,Rain Showers
17.5,14.9,85,13,6,24.1,100.89,NA
17.3,15,86,29,14,24.1,100.9,NA
17.4,15.3,87,31,13,24.1,100.91,Mostly Cloudy
17.8,13.9,77,29,16,24.1,100.94,NA
17.2,12.9,76,29,24,24.1,100.98,Rain
16.4,13.4,82,30,31,22.5,100.97,Mostly Cloudy
15.1,13,87,3,12,24.1,101.01,NA
15.6,12.9,84,3,7,24.1,101.06,NA
15.5,12.8,84,1,7,24.1,101.1,Mostly Cloudy
15,12.5,85,7,10,32.2,101.18,NA
14.7,12.4,86,8,9,32.2,101.25,NA
14.6,12.5,87,10,15,32.2,101.34,Cloudy
15.4,12.8,84,10,10,32.2,101.39,NA
16.1,12.8,80,9,6,32.2,101.45,NA
17.5,14,80,28,7,40.2,101.48,Mostly Cloudy
17.5,13.6,78,22,9,40.2,101.49,NA
19.1,14.2,73,23,13,40.2,101.48,NA
19,13.6,71,23,13,40.2,101.46,Mainly Clear
19.8,14.4,71,22,13,40.2,101.49,NA
19.8,14.4,71,21,19,40.2,101.47,NA
20,14.3,70,20,19,40.2,101.45,Mainly Clear
20.8,12.4,58,16,14,40.2,101.45,NA
20.2,12.3,60,15,15,32.2,101.47,NA
18.2,12.6,70,13,14,32.2,101.54,Clear
16.9,12.8,76,9,15,24.1,101.6,NA
16.2,13,81,9,17,24.1,101.67,NA
14.9,11.6,80,9,9,24.1,101.71,Mainly Clear
16.1,12.2,77,9,5,24.1,101.71,NA
14.8,12.4,86,10,10,24.1,101.77,NA
14.7,11.8,82,8,8,24.1,101.83,Clear
14.4,11.8,84,9,9,24.1,101.83,NA
14.4,11.9,84,7,8,24.1,101.88,NA
13.2,11.2,88,9,8,24.1,101.92,Clear
13.8,11.8,88,9,8,24.1,101.93,NA
13.9,11.8,87,36,2,32.2,101.96,NA
16.1,13.2,83,9,5,32.2,102,Mostly Cloudy
19.5,13.4,67,14,9,32.2,102.03,NA
19.4,13,66,14,4,32.2,102.02,NA
20.5,13.2,62,14,4,32.2,102.01,Mostly Cloudy
20.8,14.1,65,9,9,32.2,101.97,NA
19.2,14.2,73,24,10,32.2,101.94,NA
19.5,14.5,72,23,14,32.2,101.92,Mostly Cloudy
19.8,14.8,73,26,14,32.2,101.85,NA
19.7,14.3,71,26,16,32.2,101.8,NA
19.6,14.2,71,24,10,32.2,101.75,Mainly Clear
19.7,14.9,73,22,13,32.2,101.68,NA
19.1,14.7,75,21,12,40.2,101.66,NA
18.7,14.5,76,18,11,32.2,101.68,Mainly Clear
18.2,14.2,77,13,9,32.2,101.72,NA
18.7,13.8,73,16,9,32.2,101.74,NA
17,13.8,81,10,10,32.2,101.75,Clear
16.5,14,85,10,13,32.2,101.73,NA
15.9,13.4,85,10,16,32.2,101.72,NA
15.4,12.7,84,10,11,32.2,101.72,Clear
15.5,12.9,84,8,8,32.2,101.71,NA
14.2,12.6,90,30,4,32.2,101.73,NA
15.9,12.9,82,23,4,32.2,101.74,Mainly Clear
15.9,14,88,14,7,32.2,101.71,NA
15.8,13.4,85,10,11,32.2,101.71,NA
16.9,13.8,82,10,16,32.2,101.75,Mostly Cloudy
18.3,13.4,73,14,10,40.2,101.76,NA
19.3,14,71,11,5,40.2,101.77,NA
19.4,14.1,71,26,10,32.2,101.76,Mostly Cloudy
21.1,15.6,70,29,12,32.2,101.74,NA
21.6,15.8,69,29,14,32.2,101.71,NA
22.7,16.2,67,27,16,32.2,101.69,Mainly Clear
21.8,15.6,67,26,16,32.2,101.66,NA
21.6,15.4,67,27,15,32.2,101.63,NA
21.4,15.1,67,22,9,48.3,101.6,Clear
21.2,15.4,69,22,10,48.3,101.57,NA
20.5,15.6,73,20,9,32.2,101.55,NA
19.6,16.3,81,22,4,32.2,101.53,Mostly Cloudy
18,15.2,83,23,4,32.2,101.51,NA
18.7,15.2,80,36,4,32.2,101.51,NA
15.9,14.8,93,32,4,32.2,101.52,Mostly Cloudy
17.9,15.7,87,29,18,32.2,101.51,NA
16.9,15.2,90,27,13,32.2,101.48,NA
16.6,15.9,96,32,4,32.2,101.44,Mainly Clear
17.1,15.2,88,3,5,32.2,101.41,NA
15.5,14.4,93,32,11,32.2,101.42,NA
17,15.3,89,30,21,32.2,101.42,Mostly Cloudy
16.8,14.9,88,30,14,24.1,101.39,NA
17.3,15,86,30,13,32.2,101.39,NA
17.4,15.2,87,29,16,32.2,101.42,Cloudy
17.6,14.8,83,29,14,32.2,101.39,NA
17.4,14.6,83,28,12,24.1,101.38,NA
17.7,14.7,82,25,5,24.1,101.37,Cloudy
17.8,14,79,26,8,32.2,101.35,NA
17.8,13.6,76,21,11,24.1,101.33,NA
17.9,13.5,75,18,8,24.1,101.31,Cloudy
17.2,13.8,80,15,9,24.1,101.32,NA
16.9,14.6,86,13,11,9.7,101.29,"Rain Showers,Fog"
16,15.1,95,9,10,8.1,101.26,"Moderate Rain,Fog"
16.3,15.4,94,11,10,24.1,101.23,NA
16.5,14.8,89,13,10,24.1,101.19,NA
16.1,14.6,90,10,12,24.1,101.17,Cloudy
16.2,13.8,85,11,12,32.2,101.18,NA
16.2,14.4,89,12,6,24.1,101.19,NA
16.4,13.7,83,11,7,24.1,101.15,Cloudy
16.8,13.9,83,7,6,24.1,101.12,NA
15.2,14.6,96,36,1,32.2,101.09,NA
15.3,14.2,92,36,2,32.2,101.06,Cloudy
15.5,14.6,94,34,5,32.2,101.04,NA
16.1,13.9,87,25,8,32.2,101.04,NA
16.2,13.7,85,21,5,32.2,101.02,Cloudy
16.3,14,86,23,4,32.2,101.03,NA
16.3,15,92,18,4,32.2,101.03,NA
16.7,14.8,89,20,8,32.2,101.05,Cloudy
16.4,15.1,92,24,13,32.2,101.02,NA
17,15.3,90,27,17,32.2,101,NA
17.9,15.8,87,28,20,32.2,100.99,Cloudy
18.8,15.9,83,28,13,32.2,100.97,NA
18.6,15.1,80,25,11,32.2,100.96,NA
19.7,14.6,72,20,10,40.2,100.93,Mostly Cloudy
20.6,15.8,74,20,15,40.2,100.92,NA
21,14.1,64,16,15,40.2,100.89,NA
20.1,13.8,67,16,19,40.2,100.88,Mainly Clear
19.6,13,65,16,15,40.2,100.86,NA
18.6,12.9,69,12,15,32.2,100.84,NA
17.9,12.6,71,12,19,32.2,100.82,Cloudy
17.1,13.1,77,9,25,32.2,100.83,NA
16.7,13.1,79,10,23,32.2,100.82,NA
16.4,13.2,81,10,18,32.2,100.82,Cloudy
16.4,12.9,79,11,16,32.2,100.78,NA
16.2,13,81,9,14,32.2,100.79,NA
16.7,12.9,78,10,13,32.2,100.78,Cloudy
17.6,14.6,82,26,18,32.2,100.79,NA
17,12.9,77,27,25,32.2,100.78,NA
16.3,12.6,78,28,27,32.2,100.79,Mostly Cloudy
16.1,10.9,71,28,27,32.2,100.8,NA
16.5,9.6,63,27,8,40.2,100.8,NA
16.5,8.6,59,29,11,40.2,100.84,Mostly Cloudy
16.5,9.4,62,27,9,40.2,100.89,NA
17,8.7,57,27,9,40.2,100.9,NA
18.4,8.3,51,27,9,40.2,100.93,Mostly Cloudy
18.5,7.4,47,27,8,40.2,100.96,NA
19.8,7,42,23,4,40.2,100.99,NA
20.9,6.6,39,20,4,40.2,101.02,Mainly Clear
22.6,7.2,36,20,4,40.2,101.05,NA
19.8,7.8,46,18,23,40.2,101.04,NA
19.4,7.9,47,19,21,40.2,101.04,Mainly Clear
18.8,9.1,53,16,17,40.2,101.04,NA
17.1,9.4,60,16,15,32.2,101.05,NA
16.3,9.3,63,13,17,32.2,101.06,Mostly Cloudy
16.1,9.4,64,10,8,24.1,101.12,NA
15.2,10.8,75,9,12,24.1,101.15,NA
14.8,10.3,74,9,16,24.1,101.16,Rain
15.1,9.1,67,12,16,24.1,101.18,NA
14.8,9,68,12,16,24.1,101.21,NA
14.3,9,70,11,14,24.1,101.24,Rain
13.9,9.8,76,10,14,24.1,101.27,NA
13.4,10.8,84,10,12,24.1,101.3,Rain
13.3,10.9,85,10,9,24.1,101.32,Mostly Cloudy
13.2,10.9,86,11,8,32.2,101.38,Rain
13,11.4,90,12,9,32.2,101.44,NA
13.7,11.7,87,9,11,40.2,101.5,Mostly Cloudy
14.2,11.1,82,9,14,40.2,101.55,NA
15.3,11.5,78,12,16,40.2,101.6,NA
16.3,11.2,71,12,9,40.2,101.64,Mainly Clear
17.9,10.9,63,12,8,40.2,101.68,NA
18.3,10.5,60,13,5,40.2,101.69,NA
19.4,11.5,60,17,5,40.2,101.69,Mainly Clear
18.5,12,65,22,17,40.2,101.7,NA
18.8,11.7,63,23,13,40.2,101.68,NA
18.8,10.5,58,23,10,40.2,101.66,Mainly Clear
18.4,10.8,61,22,9,40.2,101.66,NA
18,9.9,59,23,8,40.2,101.64,NA
16.4,10.2,66,26,5,40.2,101.66,Clear
16.6,11,69,17,6,24.1,101.7,NA
14.6,10.1,74,5,3,24.1,101.71,NA
13.8,11.6,86,1,7,24.1,101.72,Clear
12.6,10.2,85,33,3,24.1,101.73,NA
13.6,10.6,82,2,9,24.1,101.72,NA
12.1,9.1,82,36,2,24.1,101.71,Clear
11.5,10.1,91,36,3,24.1,101.72,NA
12.7,10.5,86,36,3,24.1,101.73,NA
12.8,10.5,86,14,7,24.1,101.74,Clear
12.3,10,86,7,4,40.2,101.74,NA
12.4,10.2,86,3,7,40.2,101.76,NA
14.8,11.8,82,5,4,40.2,101.78,Clear
16.4,11.2,71,16,3,40.2,101.79,NA
18,11.7,66,24,11,40.2,101.78,NA
19.2,13.6,70,29,12,40.2,101.79,Clear
20,12.2,60,29,18,40.2,101.75,NA
20.1,12.9,63,27,19,40.2,101.7,NA
21.2,13.3,60,28,12,40.2,101.65,Mainly Clear
22.2,12.3,53,28,14,40.2,101.6,NA
21.6,11.8,53,27,14,40.2,101.54,NA
21.9,10.7,48,29,14,40.2,101.48,Mainly Clear
20.9,13.9,64,31,11,40.2,101.44,NA
19.5,14.2,71,30,12,40.2,101.4,NA
16.8,14.1,84,28,8,40.2,101.38,Clear
16.1,14.5,90,27,12,24.1,101.4,NA
15.1,13.9,93,32,7,24.1,101.4,NA
16.6,15.3,92,36,2,24.1,101.4,Mainly Clear
14.8,13.2,90,36,2,24.1,101.4,NA
14.8,13.2,90,14,5,24.1,101.41,NA
13.8,11.5,86,12,5,24.1,101.42,Mainly Clear
14.7,11.8,82,7,8,24.1,101.43,NA
13,11.9,92,9,9,24.1,101.46,NA
13.5,10.8,84,9,5,24.1,101.47,Mainly Clear
13.4,10.4,82,7,7,40.2,101.48,NA
11.8,10.1,90,36,2,48.3,101.51,NA
16.1,12.1,77,10,6,48.3,101.55,Mainly Clear
18.1,11.5,65,11,11,48.3,101.56,NA
19.2,11.5,60,10,12,48.3,101.55,NA
20.8,10.6,52,15,13,48.3,101.57,Mainly Clear
21.9,10.2,47,16,10,48.3,101.55,NA
23,9.5,42,14,10,48.3,101.51,NA
24.6,8.6,36,13,11,48.3,101.45,Mostly Cloudy
23.6,9,39,13,11,48.3,101.45,NA
24.3,9.9,40,16,17,48.3,101.42,NA
22.9,9,41,15,16,48.3,101.41,Mostly Cloudy
22.3,8.4,40,13,13,48.3,101.38,NA
21.2,10.4,50,10,12,40.2,101.4,NA
18.9,10.5,58,10,17,40.2,101.42,Mostly Cloudy
17.6,10.9,64,10,17,32.2,101.49,NA
16.4,11.2,71,10,17,32.2,101.51,NA
15.5,11.3,76,9,18,32.2,101.53,Cloudy
15.8,10.4,70,11,21,32.2,101.54,NA
15.5,10.3,71,10,19,32.2,101.57,NA
15.6,10.3,70,10,20,32.2,101.63,Cloudy
15.3,10.8,74,10,21,32.2,101.65,NA
15.5,11.2,76,10,26,32.2,101.65,NA
15.3,12,81,9,23,32.2,101.67,Cloudy
15.3,12.2,82,10,22,32.2,101.68,NA
15.7,12.2,79,10,21,32.2,101.69,NA
15.8,12.5,80,9,20,32.2,101.71,Cloudy
16.1,12.8,80,9,17,32.2,101.74,NA
16.8,12.3,75,11,20,24.1,101.76,Rain
17,12.4,74,10,20,32.2,101.78,Cloudy
16.8,14.3,85,11,21,20.9,101.75,Rain
16.8,13.4,80,14,19,12.9,101.76,Rain
15.5,14.5,94,16,13,4.8,101.78,"Rain,Fog"
15.8,14.9,95,15,12,8.1,101.76,"Rain,Fog"
16,14.7,92,9,14,11.3,101.71,NA
16.4,14.7,90,9,16,20.9,101.66,Cloudy
16.6,15,90,10,18,24.1,101.61,NA
16.9,15.2,90,8,16,24.1,101.55,NA
16.5,15.2,92,9,14,32.2,101.54,Mostly Cloudy
15.9,14.8,93,10,18,32.2,101.56,NA
15.8,14.3,91,9,17,32.2,101.56,NA
15.5,13.9,90,9,14,32.2,101.57,Mostly Cloudy
15.7,13.5,87,6,7,32.2,101.61,NA
15.1,14.5,96,10,5,24.1,101.64,Rain
15.3,14.5,94,8,6,32.2,101.67,Cloudy
15.3,14.4,95,11,4,24.1,101.7,NA
14.7,13.8,94,11,12,24.1,101.72,NA
14.4,13.7,95,11,8,12.9,101.74,Rain
14.2,13.9,98,7,9,12.9,101.76,Rain
14.4,14,97,9,9,12.9,101.8,NA
14.7,14,95,8,6,20.9,101.86,Rain
15.3,14.2,93,9,5,9.7,101.91,Fog
15.8,14.7,93,16,8,11.3,101.93,NA
17,15,88,28,12,24.1,101.99,Mostly Cloudy
17.8,14.5,81,30,10,32.2,102,NA
18.6,13.9,74,23,11,32.2,102.01,NA
18.5,13.8,74,23,7,48.3,102.03,Mostly Cloudy
19.7,12.8,64,26,10,48.3,102.02,NA
19.6,12.7,64,21,16,48.3,102,NA
19.7,12.9,65,21,14,48.3,101.99,Clear
19.2,12.6,65,21,13,48.3,101.99,NA
18.2,12.9,71,19,7,48.3,101.99,NA
17,11.7,71,13,9,40.2,101.99,Mainly Clear
16.6,11.2,70,9,9,32.2,102.03,NA
15.9,11.7,76,8,9,32.2,102.05,NA
15.2,11.9,80,6,9,32.2,102.06,Mainly Clear
15.2,12.1,81,7,9,32.2,102.05,NA
14.9,11.4,79,5,10,32.2,102.05,NA
14,11.3,84,8,9,32.2,102.05,Clear
11.8,10.4,91,36,1,32.2,102.05,NA
11.9,11.2,95,19,3,32.2,102.07,NA
12.5,12,97,12,5,32.2,102.05,Mainly Clear
11.9,10.7,92,2,3,32.2,102.06,NA
12.8,12,95,36,2,48.3,102.08,NA
15,12.5,85,10,7,48.3,102.08,Clear
16.6,13.3,81,14,8,48.3,102.1,NA
18,13.1,73,14,5,48.3,102.08,NA
18.2,14.5,78,24,10,48.3,102.07,Mainly Clear
17.9,13,73,23,13,40.2,102.06,NA
18.5,14,75,22,9,48.3,102.02,NA
20.6,13.5,64,27,11,48.3,102,Mostly Cloudy
20.6,14.3,67,25,9,48.3,101.92,NA
20.6,13.8,65,26,9,48.3,101.88,NA
19.9,11.8,59,24,12,48.3,101.83,Mostly Cloudy
20.2,12.7,62,26,10,48.3,101.78,NA
19.3,13.7,70,28,8,48.3,101.74,NA
16.2,13.8,85,31,12,40.2,101.7,Clear
15.4,13.3,87,32,11,32.2,101.71,NA
16.4,13.2,81,36,8,32.2,101.68,NA
16.3,14.3,88,18,4,32.2,101.66,Clear
14.5,13.7,95,29,8,32.2,101.63,NA
15.6,13.7,89,12,6,32.2,101.62,NA
13.1,12.2,95,30,5,32.2,101.6,Clear
14.5,12.7,89,36,1,32.2,101.6,NA
13.9,12.5,91,36,1,32.2,101.59,NA
13.7,12.1,90,9,4,32.2,101.58,Clear
13.1,11.9,93,10,4,32.2,101.58,NA
13.4,12.4,94,11,4,40.2,101.59,NA
16.1,14,87,11,5,40.2,101.59,Clear
18.1,15.3,84,31,10,40.2,101.59,NA
19,15.5,80,28,5,40.2,101.54,NA
19.5,15.7,79,28,14,40.2,101.53,Clear
19.8,16.3,80,28,17,40.2,101.51,NA
20.2,15.5,74,30,12,40.2,101.45,NA
20.7,14.5,67,27,9,40.2,101.39,Clear
20.1,15.3,74,25,17,40.2,101.35,NA
21.2,15.5,70,29,14,40.2,101.29,NA
20.4,14.1,66,25,12,40.2,101.24,Mainly Clear
20.5,14.5,68,27,10,40.2,101.19,NA
19.6,14.4,72,29,8,40.2,101.16,NA
17.7,13.9,78,28,4,32.2,101.12,Mainly Clear
17.4,14.4,82,22,4,32.2,101.14,NA
17.1,14,81,36,2,32.2,101.12,NA
14.9,12.9,88,32,4,32.2,101.08,Mostly Cloudy
16.3,15.3,94,18,5,32.2,101.09,NA
16.7,14.3,86,25,4,32.2,101.08,NA
15,13.7,92,14,15,32.2,101.08,Mostly Cloudy
14.1,12.2,89,9,18,32.2,101.06,NA
13.3,12.1,92,9,18,32.2,101.08,NA
13.9,12.5,91,9,12,32.2,101.11,Cloudy
14,12.3,89,9,17,32.2,101.11,NA
13.9,12.2,89,9,21,40.2,101.15,NA
14,12,87,10,25,32.2,101.17,Mostly Cloudy
14.6,11.3,80,10,22,32.2,101.2,NA
15.2,10.9,75,10,23,32.2,101.21,NA
16.1,10.3,68,9,24,32.2,101.23,Mostly Cloudy
17.1,9.2,60,10,23,40.2,101.26,NA
18.3,8.3,52,10,22,40.2,101.26,NA
17.8,8.2,53,10,26,32.2,101.26,Mostly Cloudy
17.4,9,58,12,31,32.2,101.27,NA
16.7,9.2,61,12,20,32.2,101.25,NA
16.7,9,60,9,18,32.2,101.21,Cloudy
16.3,9.7,64,7,13,32.2,101.19,NA
16.2,9.5,64,10,4,32.2,101.19,Rain
15.6,8.1,60,8,14,32.2,101.21,Rain
14.9,9.7,71,6,10,24.1,101.22,Rain
14.3,9.7,74,7,18,24.1,101.21,NA
14.2,9.6,74,8,10,24.1,101.17,Mostly Cloudy
14.1,9.2,72,16,3,24.1,101.18,NA
13.8,9.7,76,7,10,24.1,101.16,NA
12.4,11.1,91,35,4,24.1,101.2,Rain
12.3,11.4,94,9,7,24.1,101.19,NA
12.5,11.5,94,9,8,24.1,101.23,Rain
11.4,10.5,94,11,4,24.1,101.24,Mostly Cloudy
12.3,8.8,79,29,18,24.1,101.24,NA
12.7,9.7,82,29,17,24.1,101.26,Rain
14.8,10.1,73,27,9,32.2,101.21,Mostly Cloudy
15.1,8.6,65,28,9,32.2,101.29,NA
15.9,8.2,60,27,9,32.2,101.34,NA
16.2,8.5,60,27,9,40.2,101.39,Mostly Cloudy
16.5,7.8,55,27,8,40.2,101.42,NA
18.9,9.2,53,27,8,40.2,101.45,NA
18.9,7.8,48,24,5,40.2,101.45,Mainly Clear
19.7,6.6,42,24,4,40.2,101.5,NA
20.2,6.4,40,19,4,40.2,101.52,NA
16.8,7.2,53,22,9,40.2,101.52,Clear
16.5,8.3,58,19,13,40.2,101.54,NA
15.9,8,59,18,10,32.2,101.53,NA
15.1,7,58,17,8,32.2,101.55,Mostly Cloudy
13.2,7,66,10,13,24.1,101.59,NA
14.1,9.8,75,8,12,24.1,101.6,NA
13.5,9.2,75,6,10,24.1,101.6,Mainly Clear
12.7,9.4,80,6,9,24.1,101.6,NA
11.5,9.4,87,10,14,24.1,101.61,NA
11.1,9,87,9,9,24.1,101.65,Mainly Clear
11.3,9.2,87,9,9,24.1,101.66,NA
11,9.1,88,8,8,24.1,101.7,NA
9,8,93,11,3,24.1,101.74,Clear
9.6,8.5,93,9,8,32.2,101.77,NA
10.5,8.4,86,5,5,48.3,101.79,NA
12.3,9.5,82,11,4,48.3,101.82,Clear
14.2,9.2,72,20,6,48.3,101.82,NA
14.8,9.6,71,25,9,48.3,101.83,NA
15.3,9.8,69,25,12,48.3,101.83,Clear
15.6,9.9,69,24,13,48.3,101.79,NA
16.4,11.4,72,27,13,48.3,101.75,NA
17.5,11.7,69,26,15,48.3,101.72,Clear
18.6,11.8,64,29,17,48.3,101.69,NA
18.5,12.3,67,29,13,48.3,101.65,NA
18.1,12,67,28,15,48.3,101.64,Mainly Clear
17.7,12.4,71,29,16,48.3,101.61,NA
16.9,12.6,76,29,13,48.3,101.58,NA
15.2,13.3,88,30,12,48.3,101.56,Clear
14.5,13,90,32,13,32.2,101.59,NA
13.3,12.4,94,33,14,32.2,101.6,NA
14.2,12.2,88,1,6,32.2,101.6,Clear
12.1,10.8,92,3,5,32.2,101.61,NA
10.7,8.8,88,28,5,32.2,101.67,NA
14.1,9.9,76,16,5,32.2,101.7,Clear
12.5,10.4,87,35,8,32.2,101.71,NA
11.8,10.2,89,35,13,32.2,101.75,NA
12.9,11,88,34,13,32.2,101.75,Mainly Clear
11.9,10.1,88,34,9,32.2,101.8,NA
12.8,10.2,85,33,13,48.3,101.83,NA
14.5,11.1,80,5,7,48.3,101.88,Clear
16.8,13.8,82,31,16,48.3,101.91,NA
18,12.1,68,31,15,48.3,101.91,NA
18.9,14.2,74,30,15,48.3,101.92,Clear
19.4,13.9,70,29,18,48.3,101.91,NA
19.6,13.2,66,29,13,48.3,101.88,NA
20.4,11.5,56,25,11,48.3,101.84,Clear
20.2,12.4,60,24,10,48.3,101.79,NA
20.2,13,63,27,13,48.3,101.76,NA
20.7,12.8,60,29,8,48.3,101.73,Clear
20.3,13.4,64,28,7,48.3,101.68,NA
18.7,14,74,29,7,48.3,101.64,NA
16.4,13.9,85,28,6,48.3,101.62,Mainly Clear
16.2,14.2,88,16,5,32.2,101.64,NA
15.9,14.2,89,15,3,32.2,101.66,NA
13.2,10.7,85,36,3,32.2,101.68,Clear
15.6,9.2,65,7,8,32.2,101.68,NA
14,10.7,81,7,10,32.2,101.68,NA
15.7,11.4,75,8,13,32.2,101.67,Clear
13.1,9.1,77,9,11,32.2,101.69,NA
12.2,8.8,79,9,7,32.2,101.72,NA
13.5,8.8,73,6,8,48.3,101.71,Clear
12.5,8.9,79,8,5,48.3,101.7,NA
13,9.2,77,1,9,48.3,101.74,NA
16.1,9.4,64,1,4,48.3,101.76,Mainly Clear
18.6,9.2,53,1,11,48.3,101.75,NA
19.5,9.9,53,1,9,48.3,101.76,NA
